i,timestamp_ms,close,log_return,regime_label,signal_valid,confidence,conviction,position_size,signed_position_size,execution_side,engine_status,expected_volatility,edge_score,prob_bull,prob_bear,prob_crisis
92,1701396240000,39027.3,-0.0008912862002712359,BEAR,True,0.9999999999979731,0.999999999947201,0.0,0.0,flat,OK,0.010760013096019563,0.33165364159176575,1.006729631711085e-12,0.9999999999979731,1.0201888951316979e-12
93,1701396300000,39027.2,-2.5623122307367464e-06,BEAR,True,0.9999999983914979,0.9999999688827325,0.0,0.0,flat,OK,0.010759271914826016,0.28532291327341264,1.0050388330381014e-12,0.9999999983914979,1.6074970809007096e-09
94,1701396420000,39058.0,0.00078888192890145,BEAR,True,0.9999988805313932,0.9999850182117215,0.0,0.0,flat,OK,0.010760120541327644,0.24825833061873015,1.0059518093903031e-12,0.9999988805313932,1.119467600792606e-06
95,1701396480000,39065.6,0.00019456348719134106,BEAR,True,0.999999877492631,0.9999981137690475,0.0,0.0,flat,OK,0.010759460913478092,0.21860666449498417,1.0044630452942956e-12,0.999999877492631,1.225063645753787e-07
96,1701396540000,39060.1,-0.00014079873867585605,BEAR,True,0.9999999999979867,0.9999999999475413,0.0,0.0,flat,OK,0.01075883699701531,0.19488533159598737,1.0033467035384206e-12,0.9999999999979867,1.0100401106132786e-12
97,1701396720000,39052.8,-0.00018690894900191124,BEAR,True,0.9999999999979898,0.9999999999476251,0.0,0.0,flat,OK,0.010758316474540744,0.17590826527678993,1.0025110622065366e-12,0.9999999999979899,1.0075331866176237e-12
98,1701396840000,39035.5,-0.00044308815233635025,BEAR,True,0.9999999999979867,0.9999999999475425,0.0,0.0,flat,OK,0.01075823948761319,0.16072661222143197,1.0033342413638496e-12,0.9999999999979867,1.010002724089574e-12
99,1701396900000,39033.5,-5.123672649670285e-05,BEAR,True,0.9999999991192523,0.9999999824757508,0.0,0.0,flat,OK,0.010757700329584815,0.14858128977714563,1.0024994538837365e-12,0.9999999991192523,8.797452499946491e-10
100,1701397200000,39033.4,-2.561905237698327e-06,BEAR,True,0.9999999252592827,0.9999988156045588,0.0,0.0,flat,OK,0.010757214092863954,0.13886503182171656,1.0018734514244044e-12,0.9999999252592827,7.473971543020938e-08
101,1701397260000,39033.5,2.5619052376453347e-06,BEAR,True,0.999999949389499,0.9999991800259602,0.0,0.0,flat,OK,0.010756778557958013,0.13109202545737325,1.0014044549065142e-12,0.999999949389499,5.060949962690821e-08
102,1701397320000,39033.9,1.0247555317713275e-05,BEAR,True,0.9999999564448336,0.9999992883806907,0.0,0.0,flat,OK,0.010756388241635858,0.12487362036589861,1.001053043500865e-12,0.9999999564448336,4.3554165318075884e-08
