agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
1861411,69000.0,0.07,2717963,2717963,1774578076815,true
1861412,69000.0,0.006,2717964,2717964,1774578076943,true
1861413,69000.1,0.001,2717965,2717965,1774578076995,false
1861414,69000.1,0.001,2717966,2717966,1774578077517,false
1861415,69000.1,0.003,2717967,2717969,1774578078851,false
1861416,69000.1,0.001,2717970,2717970,1774578079355,false
1861417,69018.3,0.001,2717971,2717971,1774578092219,true
1861418,69017.5,0.001,2717972,2717972,1774578128767,true
1861419,69016.7,0.052,2717973,2717973,1774578128767,true
1861420,69020.5,0.07,2717974,2717974,1774578133786,true
1861421,69029.4,0.001,2717975,2717975,1774578143987,true
1861422,69034.4,0.07,2717976,2717976,1774578144904,true
1861423,69034.5,0.001,2717977,2717977,1774578146420,false
1861424,69034.5,0.001,2717978,2717978,1774578146601,false
1861425,69034.5,0.001,2717979,2717979,1774578147120,false
1861426,69034.5,0.001,2717980,2717980,1774578148030,false
1861427,69034.5,0.001,2717981,2717981,1774578148644,false
1861428,69034.5,0.001,2717982,2717982,1774578149429,false
1861429,69034.5,0.008,2717983,2717985,1774578149637,false
1861430,69035.6,0.001,2717986,2717986,1774578164210,true
1861431,69034.7,0.001,2717987,2717987,1774578195752,false
1861432,69026.7,0.001,2717988,2717988,1774578214067,false
1861433,69015.7,0.001,2717989,2717989,1774578221219,false
1861434,69033.8,0.005,2717990,2717990,1774578248629,false
1861435,69033.9,0.005,2717991,2717991,1774578248629,false
1861436,69034.0,0.04,2717992,2717993,1774578248629,false
1861437,69061.8,0.001,2717994,2717994,1774578280476,true
1861438,69055.6,0.217,2717995,2717995,1774578280476,true
1861439,69032.0,0.002,2717996,2717996,1774578280537,false
1861440,69051.6,0.001,2717997,2717997,1774578294683,true
1861441,69017.7,0.001,2717998,2717998,1774578295320,true
1861442,69015.3,0.001,2717999,2717999,1774578295348,true
1861443,68999.7,0.002,2718000,2718001,1774578480597,false
1861444,69051.2,0.001,2718002,2718002,1774578604705,true
1861445,69050.8,0.019,2718003,2718003,1774578604705,true
1861446,69047.9,0.006,2718004,2718004,1774578622387,true
1861447,69072.1,0.001,2718005,2718005,1774578684519,true
1861448,69070.3,0.024,2718006,2718006,1774578684519,true
1861449,69075.1,0.045,2718007,2718007,1774578684533,true
1861450,69097.3,0.001,2718008,2718008,1774578693455,true
1861451,69097.9,0.069,2718009,2718009,1774578764067,true
1861452,69093.2,0.006,2718010,2718011,1774578764143,true
1861453,69098.1,0.052,2718012,2718012,1774578764238,true
1861454,69098.2,0.002,2718013,2718014,1774578780520,false
1861455,69087.0,0.004,2718015,2718015,1774578794552,false
1861456,69086.0,0.035,2718016,2718016,1774578802418,true
1861457,69083.4,0.005,2718017,2718017,1774578808135,true
