bar_idx,ts_ms,close,action,confidence,state,regime,ofi_z,hawkes,prob_above,prob_below
191,1701403800000,39234.3,HOLD,0.0,NORMAL,RANGING,-0.1646,0.8,0.5,0.5
193,1701403920000,39257.6,HOLD,0.0,NORMAL,RANGING,-0.2939,1.2,0.5,0.5
194,1701403980000,39289.8,HOLD,0.0,NORMAL,RANGING,-0.209,1.1,0.5,0.5
196,1701404100000,39289.7,BUY,0.8173,PRE_SWEEP_BUILDUP,RANGING,-0.3252,1.4,0.8961,0.1039
198,1701404220000,39296.0,HOLD,0.0,NORMAL,RANGING,-0.3671,0.4,0.5,0.5
199,1701404280000,39299.9,HOLD,0.0,NORMAL,RANGING,-2.8964,0.2,0.5,0.5
200,1701404340000,39283.2,HOLD,0.0,NORMAL,RANGING,-2.6568,0.4,0.5,0.5
201,1701404460000,39264.7,HOLD,0.0,NORMAL,RANGING,-0.2022,0.3,0.5,0.5
202,1701404520000,39265.5,HOLD,0.0,NORMAL,RANGING,-0.0256,0.2,0.5,0.5
203,1701404580000,39283.2,HOLD,0.0,NORMAL,RANGING,-0.1852,0.6,0.5,0.5
204,1701404640000,39287.2,HOLD,0.0,NORMAL,RANGING,-0.1922,0.6,0.5,0.5
205,1701404700000,39291.4,HOLD,0.0,NORMAL,RANGING,-0.1088,0.5,0.5,0.5
206,1701404760000,39296.0,HOLD,0.0,NORMAL,RANGING,-0.2866,0.1,0.5,0.5
207,1701404820000,39287.6,HOLD,0.0,NORMAL,RANGING,-0.123,0.1,0.5,0.5
209,1701404940000,39369.0,HOLD,0.0,NORMAL,RANGING,-0.1206,1.3,0.5,0.5
211,1701405060000,39331.3,BUY,0.6795,PRE_SWEEP_BUILDUP,RANGING,-0.3068,1.8,0.7454,0.2546
212,1701405120000,39332.6,HOLD,0.0,NORMAL,RANGING,-2.6762,0.5,0.5,0.5
213,1701405180000,39325.8,HOLD,0.0,NORMAL,RANGING,2.5549,0.6,0.5,0.5
214,1701405240000,39330.2,HOLD,0.0,NORMAL,RANGING,-0.0971,0.1,0.5,0.5
215,1701405300000,39352.1,HOLD,0.0,NORMAL,RANGING,-0.0996,0.6,0.5,0.5
216,1701405360000,39374.3,HOLD,0.0,NORMAL,RANGING,0.6212,1.3,0.5,0.5
217,1701405420000,39375.3,HOLD,0.0,NORMAL,RANGING,-0.1039,0.8,0.5,0.5
218,1701405480000,39385.6,HOLD,0.0,NORMAL,RANGING,0.0263,0.9,0.5,0.5
219,1701405540000,39397.9,HOLD,0.0,NORMAL,RANGING,-0.2124,0.1,0.5,0.5
220,1701405600000,39400.0,HOLD,0.0,NORMAL,RANGING,0.0154,0.7,0.5,0.5
221,1701405660000,39372.1,HOLD,0.0,NORMAL,RANGING,-0.1094,0.4,0.5,0.5
